INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2016-09-01T15:00:00-00:00,2016-09-01T16:00:00-00:00,2016-09-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.37471,1
2016-09-01T19:00:00-00:00,2016-09-01T20:00:00-00:00,2016-09-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.08626,1
2016-09-02T04:00:00-00:00,2016-09-02T05:00:00-00:00,2016-09-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,37.7194,1
2016-09-01T16:00:00-00:00,2016-09-01T17:00:00-00:00,2016-09-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,22.12491,1
2016-09-01T17:00:00-00:00,2016-09-01T18:00:00-00:00,2016-09-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,22.29904,1
2016-09-02T01:00:00-00:00,2016-09-02T02:00:00-00:00,2016-09-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,59.29721,1
2016-09-01T14:00:00-00:00,2016-09-01T15:00:00-00:00,2016-09-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.19929,1
2016-09-01T21:00:00-00:00,2016-09-01T22:00:00-00:00,2016-09-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.44232,1
2016-09-01T23:00:00-00:00,2016-09-02T00:00:00-00:00,2016-09-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,39.3954,1
2016-09-02T05:00:00-00:00,2016-09-02T06:00:00-00:00,2016-09-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.41793,1
2016-09-02T06:00:00-00:00,2016-09-02T07:00:00-00:00,2016-09-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.70278,1
2016-09-01T13:00:00-00:00,2016-09-01T14:00:00-00:00,2016-09-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.26444,1
2016-09-01T22:00:00-00:00,2016-09-01T23:00:00-00:00,2016-09-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,37.18843,1
2016-09-01T10:00:00-00:00,2016-09-01T11:00:00-00:00,2016-09-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.1286,1
2016-09-01T12:00:00-00:00,2016-09-01T13:00:00-00:00,2016-09-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.91041,1
2016-09-01T20:00:00-00:00,2016-09-01T21:00:00-00:00,2016-09-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.88242,1
2016-09-01T08:00:00-00:00,2016-09-01T09:00:00-00:00,2016-09-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.06493,1
2016-09-01T11:00:00-00:00,2016-09-01T12:00:00-00:00,2016-09-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.61533,1
2016-09-02T00:00:00-00:00,2016-09-02T01:00:00-00:00,2016-09-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.30593,1
2016-09-02T02:00:00-00:00,2016-09-02T03:00:00-00:00,2016-09-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,57.62327,1
2016-09-02T03:00:00-00:00,2016-09-02T04:00:00-00:00,2016-09-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,57.55614,1
2016-09-01T07:00:00-00:00,2016-09-01T08:00:00-00:00,2016-09-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.30416,1
